split,repair_priority,repair_status,n_galaxies,hard_specific_count,tau_l2_tpg_win_count,tau_l2_mond_win_count,median_priority_score
holdout,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,3,3,3,3,102.0
holdout,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,2,2,1,1,82.0
holdout,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,8,8,2,4,73.5
holdout,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,2,2,0,0,52.0
holdout,P3_MONITOR_NO_IMMEDIATE_REPAIR,NO_PROJECTION_SCALE_REPAIR_REQUIRED,6,5,2,5,12.0
train,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,11,10,4,3,103.0
train,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,7,7,3,4,80.0
train,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,17,16,4,6,73.0
train,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,3,3,0,0,50.0
train,P3_MONITOR_NO_IMMEDIATE_REPAIR,NO_PROJECTION_SCALE_REPAIR_REQUIRED,16,12,11,11,10.0
