stage,stage_status,n_galaxies,n_blocked,endpoint_scores_computed,next_action,p0_codex_source_review_labels_created,full_endpoint_labels_created,claim_boundary
external_imaging_request_manifest,SOURCE_REQUEST_READY,4,0,False,use source requests for residual-blind review,False,False,p0_review_pipeline_status_not_label_not_endpoint
skyview_availability_audit,AVAILABLE_SOURCE_PREFLIGHT_COMPLETE,4,0,False,render source previews without image classification,False,False,p0_review_pipeline_status_not_label_not_endpoint
skyview_preview_images,PREVIEW_SOURCE_MATERIAL_READY,4,0,False,use previews only as residual-blind review source material,False,False,p0_review_pipeline_status_not_label_not_endpoint
visual_review_template,REVIEW_TEMPLATE_READY,4,0,False,fill review fields residual-blind,False,False,p0_review_pipeline_status_not_label_not_endpoint
visual_review_completion_gate,BLOCKED_VISUAL_REVIEW_PENDING,4,4,False,complete residual-blind visual review fields,False,False,p0_review_pipeline_status_not_label_not_endpoint
visual_review_handoff,READY_FOR_RESIDUAL_BLIND_HUMAN_REVIEW,4,4,False,send handoff to residual-blind reviewer,False,False,p0_review_pipeline_status_not_label_not_endpoint
visual_review_response_intake,READY_FOR_INDEPENDENT_ACCEPTED_MANIFEST_AUDIT,4,0,False,fill response template before independent manifest audit,False,False,p0_review_pipeline_status_not_label_not_endpoint
response_to_manifest_promotion_gate,READY_FOR_INDEPENDENT_ACCEPTED_MANIFEST_AUDIT,4,0,False,do not promote labels until all promotion gates pass,False,False,p0_review_pipeline_status_not_label_not_endpoint
missing_data_source_acquisition_plan,SOURCE_PLAN_READY,4,0,False,acquire S4G/NED/DustPedia/HI/PHANGS evidence residual-blind,False,False,p0_review_pipeline_status_not_label_not_endpoint
dustpedia_hi_phangs_source_evidence,SOURCE_EVIDENCE_PARTIAL_REVIEW_REQUIRED,4,7,False,use source evidence for human residual-blind review only,False,False,p0_review_pipeline_status_not_label_not_endpoint
source_assisted_review_response_draft,BLOCKED_DRAFT_NOT_ACCEPTED_REVIEW,4,4,False,human reviewer must convert draft into accepted-review response,False,False,p0_review_pipeline_status_not_label_not_endpoint
p0_codex_accepted_label_manifest,P0_CODEX_SOURCE_REVIEW_LABELS_CREATED_NOT_ENDPOINT,4,0,False,keep P0 labels in audit lane; do not launch full endpoint manifest,True,False,p0_review_pipeline_status_not_label_not_endpoint
requested_source_family_availability,SOURCE_AVAILABILITY_PREFLIGHT_COMPLETE,4,12,False,complete human review for matched evidence and record no-coverage blockers,False,False,p0_review_pipeline_status_not_label_not_endpoint
