field,current_availability_status,current_manifest_source_field,upgrade_priority,accepted_source_class,extraction_rule,leak_guard,promotion_gate,endpoint_role
formula_family,proxy_available,formula_family,P0,residual-blind image/decomposition morphology classification,assign one predeclared Tau Core family before endpoint scoring,"no vobs residuals, required_S_tau, or best-fit formula choice",family label documented with source and pre-scoring timestamp,must be upgraded before discovery-style endpoint claim
manifest_confidence,proxy_available,manifest_confidence,P0,pre-scoring morphology-observable quality rubric,score confidence from source quality and feature clarity only,no endpoint performance or baseline comparison input,thresholds frozen before the endpoint run,must be upgraded before discovery-style endpoint claim
manifest_caveat,proxy_available,manifest_caveat,P0,geometry/catalog/source-quality caveat log,"record low inclination, distance uncertainty, weak feature, or none",no caveat added because the model scored poorly,caveated rows preserved in support/control outputs,must be upgraded before discovery-style endpoint claim
scale_radius_kpc,proxy_available,scale_radius_proxy_kpc,P1,light-profile or morphology decomposition scale length,use pre-scoring disk scale/support length with units and uncertainty,no radius chosen from residual shape or endpoint score,positive physical scale with provenance,must be upgraded before discovery-style endpoint claim
tail_inner_radius_kpc,proxy_available,tail_inner_radius_proxy_kpc,P1,outer-disk morphology transition feature,measure transition radius before applying the readout formula,no radius chosen to minimize velocity residuals,positive and not larger than tail_cutoff_radius_kpc,must be upgraded before discovery-style endpoint claim
tail_cutoff_radius_kpc,proxy_available,tail_cutoff_radius_proxy_kpc,P1,outer disk/tail extent morphology observable,measure tail support/cutoff before endpoint scoring,no endpoint-selected truncation radius,positive and not smaller than tail_inner_radius_kpc,must be upgraded before discovery-style endpoint claim
compact_support_radius_kpc,proxy_available,compact_support_radius_proxy_kpc,P1,compact-source morphology support radius,measure compact support from residual-blind source morphology,no support radius chosen from residual improvement,positive support radius with provenance,must be upgraded before discovery-style endpoint claim
thickness_h_over_rs,proxy_available,thickness_h_over_rs_proxy,P1,vertical thickness/flaring observable or documented proxy,record dimensionless thickness ratio and uncertainty/caveat,no damping factor tuned to endpoint residuals,positive ratio with source and caveat status,must be upgraded before discovery-style endpoint claim
ring_radius_kpc,not_in_current_family_set,ring_radius_proxy_kpc,P2,external ring/resonance morphology measurement,include only if ring family enters a predeclared endpoint lane,no residual-peak-selected ring radius,ring branch remains caveated until source-native fields exist,optional branch; keep out of current primary 1D endpoint
bar_m2_strength,not_in_current_family_set,bar_m2_proxy,P2_velocity_field,image or velocity-field m=2 morphology observable,promote only in a velocity-field/full-morphology branch,no 1D residual asymmetry fit,not promoted from 1D SPARC curves alone,optional branch; keep out of current primary 1D endpoint
lopsided_m1_strength,not_in_current_family_set,lopsided_m1_proxy,P2_velocity_field,image or velocity-field m=1 asymmetry observable,promote only in a velocity-field/full-morphology branch,no 1D residual asymmetry fit,not promoted from 1D SPARC curves alone,optional branch; keep out of current primary 1D endpoint
observable_provenance,proxy_available,parameter_source,P0,"dataset, method, and pre-scoring timestamp ledger",document every family label and kernel observable source,no undocumented manual adjustment,all rows have auditable residual-blind provenance,must be upgraded before discovery-style endpoint claim
